DOE_SCHOOL_CODE	SCHOOL_NAME	RFS_BUSHFIRE_CATEGORY
4618	North Nowra Public School	Category 2
4619	Henry Fulton Public School	Buffer
4620	Glendore Public School	Buffer
4623	Blue Haven Public School	Category 1
4625	Currans Hill Public School	Buffer
4626	Callala Public School	Category 1
4628	Harrington Park Public School	Buffer
4631	Surveyors Creek Public School	Buffer
4632	Bogangar Public School	Category 1
4633	Jerrabomberra Public School	Buffer
4637	Woongarrah Public School	Buffer
4638	Ironbark Ridge Public School	Category 1
4641	Shell Cove Public School	Buffer
4642	Ashtonfield Public School	Category 1
4643	North East Public School of Distance Education	Category 2
4645	Ropes Crossing Public School	Buffer
4650	Wilton Public School	Category 2
4653	Riverbank Public School	Category 1
4654	Lake Cathie Public School	Buffer
5133	Stanford Merthyr Infants School	Buffer
5247	New Lambton Heights Infants School	Category 1
5260	Cardiff North Public School	Buffer
5272	Heathcote East Public School	Buffer
5401	Glenfield Park School	Category 1
5428	Field of Mars Environmental Education Centre	Buffer
5429	Camden Park Environmental Education Centre	Category 1
5453	Putland School	Category 1
5456	Girrakool School	Category 1
5458	Wetlands Environmental Education Centre	Category 1
5550	Willans Hill School	Category 1
5558	John Hunter Hospital School	Category 1
5575	Cook School	Category 2
5576	Highlands School	Category 1
5579	The Beach School	Category 2
5582	Wakefield School	Category 2
5621	Kurrambee School	Category 1
5627	Glenvale School	Category 1
5632	Lawrence Hargrave School	Buffer
5647	Bates Drive School	Category 2
5656	Arranounbai School	Category 1
5667	Wooglemai Environmental Education Centre	Category 1
5675	Sir Eric Woodward Memorial School	Buffer
5679	Bournda Environmental Education Centre	Category 1
5679	Bournda Environmental Education Centre	Category 1
5680	Thalgarrah Environmental Education Centre	Category 1
5681	Wambangalang Environmental Education Centre	Category 1
5682	Awabakal Environmental Education Centre	Category 1
5684	Tangara School	Category 1
5689	Wilson Park School	Buffer
5690	Longneck Lagoon Environmental Education Centre	Category 1
5691	Royal National Park Environment Education Centre	Category 1
5694	Brewongle Environmental Education Centre	Category 1
5698	Havenlee School	Category 2
5704	Newcastle Junior School	Category 1
5714	Gibberagong Environmental Education Centre	Category 1
5723	Five Islands School	Buffer
5731	Cascade Environmental Education Centre	Buffer
5732	Warrumbungle National Park Environmental Ed Centre	Category 1
5735	Campbell House School	Category 1
5738	Kotara School	Category 2
5740	Rumbalara Environmental Education Centre	Category 1
5741	Botany Bay Environmental Education Centre	Category 1
5743	Illawarra Environmental Education Centre	Category 1
5748	Ajuga School	Category 1
5752	Penrith Lakes Environmental Education Centre	Buffer
5755	HopeTown School	Category 1
5760	North Gosford Learning Centre	Category 1
5761	Penrith Valley School	Buffer
5763	Coffs Harbour Learning Centre	Buffer
5765	The Ponds School	Buffer
8108	Cessnock High School	Buffer
8111	Farrer Memorial Agricultural High School	Category 1
8115	Gosford High School	Category 1
